team_full,team_short,team_master_full,team_master_short
Arizona Cardinals,ARI,Arizona Cardinals,ARI
Atlanta Falcons,ATL,Atlanta Falcons,ATL
Baltimore Ravens,BAL,Baltimore Ravens,BAL
Buffalo Bills,BUF,Buffalo Bills,BUF
Carolina Panthers,CAR,Carolina Panthers,CAR
Chicago Bears,CHI,Chicago Bears,CHI
Cincinnati Bengals,CIN,Cincinnati Bengals,CIN
Cleveland Browns,CLE,Cleveland Browns,CLE
Dallas Cowboys,DAL,Dallas Cowboys,DAL
Denver Broncos,DEN,Denver Broncos,DEN
Detroit Lions,DET,Detroit Lions,DET
Green Bay Packers,GB,Green Bay Packers,GB
Houston Texans,HOU,Houston Texans,HOU
Indianapolis Colts,IND,Indianapolis Colts,IND
Jacksonville Jaguars,JAX,Jacksonville Jaguars,JAX
Kansas City Chiefs,KC,Kansas City Chiefs,KC
Los Angeles Chargers,LAC,Los Angeles Chargers,LAC
San Diego Chargers,SD,Los Angeles Chargers,LAC
Los Angeles Rams,LAR,Los Angeles Rams,LAR
St. Louis Rams,STL,Los Angeles Rams,LAR
Miami Dolphins,MIA,Miami Dolphins,MIA
Minnesota Vikings,MIN,Minnesota Vikings,MIN
New England Patriots,NE,New England Patriots,NE
New Orleans Saints,NO,New Orleans Saints,NO
New York Giants,NYG,New York Giants,NYG
New York Jets,NYJ,New York Jets,NYJ
Oakland Raiders,OAK,Las Vegas Raiders,LV
Las Vegas Raiders,LV,Las Vegas Raiders,LV
Philadelphia Eagles,PHI,Philadelphia Eagles,PHI
Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT
San Francisco 49ers,SF,San Francisco 49ers,SF
Seattle Seahawks,SEA,Seattle Seahawks,SEA
Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB
Tennessee Titans,TEN,Tennessee Titans,TEN
Washington Redskins,WAS,Washington Redskins,WAS
Washington Redskins,WSH,Washington Redskins,WAS
